annotation_id	type	meta	char_range
296	pause	{}	[27224,27225)
297	pause	{}	[27254,27255)
298	pause	{}	[27267,27268)
299	pause	{}	[27329,27330)
300	gap	{"reason": "unintelligible"}	[27341,27342)
301	pause	{}	[27344,27345)
302	gap	{"reason": "unintelligible"}	[27416,27417)
303	gap	{"reason": "unintelligible"}	[27422,27423)
304	pause	{}	[27526,27527)
305	pause	{}	[27671,27672)
306	pause	{}	[27793,27794)
307	gap	{"reason": "unintelligible"}	[27850,27851)
308	pause	{}	[27855,27856)
309	gap	{"reason": "unintelligible"}	[27942,27943)
310	pause	{}	[27943,27944)
311	pause	{}	[27988,27989)
312	pause	{}	[28313,28314)
313	gap	{"reason": "unintelligible"}	[28331,28332)
314	pause	{}	[28342,28343)
315	pause	{}	[28517,28518)
316	gap	{"reason": "unintelligible"}	[28518,28519)
317	pause	{}	[28578,28579)
318	pause	{}	[28636,28637)
319	pause	{}	[28761,28762)
320	pause	{}	[28780,28781)
321	pause	{}	[28804,28805)
322	pause	{}	[28847,28848)
323	pause	{}	[28921,28922)
324	pause	{}	[29065,29066)
325	pause	{}	[29142,29143)
326	pause	{}	[29290,29291)
327	pause	{}	[29392,29393)
328	pause	{}	[29444,29445)
329	gap	{"reason": "unintelligible"}	[29478,29479)
330	pause	{}	[29483,29484)
331	pause	{}	[29533,29534)
332	gap	{"reason": "unintelligible"}	[29689,29690)
333	pause	{}	[29775,29776)
334	pause	{}	[29917,29918)
335	pause	{}	[29963,29964)
336	pause	{}	[30061,30062)
337	pause	{}	[30196,30197)
338	pause	{}	[30258,30259)
339	pause	{}	[30375,30376)
340	gap	{"reason": "unintelligible"}	[30675,30676)
341	pause	{}	[30792,30793)
342	pause	{}	[31040,31041)
343	pause	{}	[31134,31135)
344	pause	{}	[31329,31330)
345	pause	{}	[31338,31339)
346	pause	{}	[31432,31433)
347	pause	{}	[31754,31755)
348	gap	{"reason": "unintelligible"}	[31851,31852)
349	gap	{"reason": "unintelligible"}	[32007,32008)
350	pause	{}	[32090,32091)
351	pause	{}	[32237,32238)
352	pause	{}	[32361,32362)
353	pause	{}	[32390,32391)
354	pause	{}	[32455,32456)
355	pause	{}	[32485,32486)
356	pause	{}	[32512,32513)
357	pause	{}	[32544,32545)
358	pause	{}	[32583,32584)
359	pause	{}	[32750,32751)
360	gap	{"reason": "unintelligible"}	[32790,32791)
361	pause	{}	[32975,32976)
362	pause	{}	[33127,33128)
363	pause	{}	[33267,33268)
364	pause	{}	[33309,33310)
365	pause	{}	[33315,33316)
366	pause	{}	[33351,33352)
367	pause	{}	[33421,33422)
368	pause	{}	[33611,33612)
369	pause	{}	[33653,33654)
370	pause	{}	[33689,33690)
371	pause	{}	[33751,33752)
372	gap	{"reason": "unintelligible"}	[33848,33849)
373	pause	{}	[34045,34046)
374	pause	{}	[34230,34231)
375	pause	{}	[34265,34266)
376	pause	{}	[34402,34403)
377	pause	{}	[34666,34667)
378	pause	{}	[34697,34698)
379	pause	{}	[34716,34717)
380	gap	{"reason": "unintelligible"}	[34751,34752)
381	pause	{}	[35138,35139)
382	pause	{}	[35294,35295)
383	pause	{}	[35364,35365)
384	pause	{}	[35473,35474)
385	pause	{}	[35786,35787)
386	pause	{}	[35853,35854)
387	pause	{}	[35929,35930)
388	pause	{}	[35986,35987)
389	pause	{}	[36022,36023)
390	pause	{}	[36072,36073)
391	pause	{}	[36287,36288)
392	pause	{}	[36300,36301)
393	pause	{}	[36449,36450)
394	pause	{}	[36612,36613)
395	pause	{}	[36625,36626)
396	pause	{}	[36759,36760)
397	pause	{}	[36806,36807)
398	pause	{}	[36995,36996)
399	pause	{}	[37076,37077)
400	gap	{"reason": "unintelligible"}	[37122,37123)
401	gap	{"reason": "unintelligible"}	[37125,37126)
402	pause	{}	[37188,37189)
403	pause	{}	[37357,37358)
404	pause	{}	[37409,37410)
405	pause	{}	[37492,37493)
406	pause	{}	[37595,37596)
407	gap	{"reason": "unintelligible"}	[37658,37659)
408	pause	{}	[37752,37753)
409	pause	{}	[38049,38050)
410	pause	{}	[38059,38060)
411	pause	{}	[38117,38118)
412	pause	{}	[38120,38121)
413	pause	{}	[38282,38283)
414	pause	{}	[38474,38475)
415	pause	{}	[38600,38601)
416	pause	{}	[38643,38644)
417	pause	{}	[38689,38690)
418	pause	{}	[38735,38736)
419	gap	{"reason": "unintelligible"}	[38742,38743)
420	pause	{}	[38774,38775)
421	pause	{}	[38787,38788)
422	gap	{"reason": "unintelligible"}	[38978,38979)
423	pause	{}	[38979,38980)
424	gap	{"reason": "unintelligible"}	[38984,38985)
425	pause	{}	[39020,39021)
426	gap	{"reason": "unintelligible"}	[39024,39025)
427	pause	{}	[39112,39113)
428	pause	{}	[39153,39154)
429	pause	{}	[39232,39233)
430	pause	{}	[39238,39239)
431	gap	{"reason": "unintelligible"}	[39294,39295)
432	pause	{}	[39364,39365)
433	pause	{}	[39428,39429)
434	pause	{}	[39595,39596)
435	pause	{}	[39676,39677)
436	pause	{}	[39725,39726)
437	gap	{"reason": "unintelligible"}	[39813,39814)
438	pause	{}	[39839,39840)
439	pause	{}	[40060,40061)
440	pause	{}	[40175,40176)
441	pause	{}	[40220,40221)
442	pause	{}	[40298,40299)
443	pause	{}	[40497,40498)
444	pause	{}	[40523,40524)
445	pause	{}	[40590,40591)
446	pause	{}	[40642,40643)
447	pause	{}	[40704,40705)
448	pause	{}	[40767,40768)
449	pause	{}	[40801,40802)
450	pause	{}	[40844,40845)
451	pause	{}	[40854,40855)
452	pause	{}	[40992,40993)
453	pause	{}	[41007,41008)
454	pause	{}	[41197,41198)
455	pause	{}	[41289,41290)
456	pause	{}	[41393,41394)
457	pause	{}	[41405,41406)
458	pause	{}	[41464,41465)
459	pause	{}	[41631,41632)
460	pause	{}	[41702,41703)
461	pause	{}	[41838,41839)
462	pause	{}	[41931,41932)
463	pause	{}	[42095,42096)
464	pause	{}	[42257,42258)
465	pause	{}	[42261,42262)
466	pause	{}	[42299,42300)
467	gap	{"reason": "unintelligible"}	[42718,42719)
468	pause	{}	[43108,43109)
469	pause	{}	[43177,43178)
470	gap	{"reason": "unintelligible"}	[43372,43373)
471	pause	{}	[43584,43585)
472	pause	{}	[43654,43655)
473	gap	{"reason": "unintelligible"}	[43685,43686)
474	pause	{}	[43717,43718)
475	pause	{}	[43720,43721)
476	pause	{}	[43768,43769)
477	pause	{}	[43870,43871)
478	pause	{}	[43910,43911)
479	pause	{}	[43928,43929)
480	pause	{}	[43970,43971)
481	pause	{}	[43981,43982)
482	pause	{}	[44001,44002)
483	pause	{}	[44541,44542)
484	pause	{}	[44645,44646)
485	pause	{}	[44714,44715)
486	pause	{}	[44843,44844)
487	gap	{"reason": "unintelligible"}	[44893,44894)
488	pause	{}	[44961,44962)
489	pause	{}	[44978,44979)
490	pause	{}	[45013,45014)
491	pause	{}	[45158,45159)
492	pause	{}	[45290,45291)
493	gap	{"reason": "unintelligible"}	[45497,45498)
494	pause	{}	[45570,45571)
495	pause	{}	[45712,45713)
496	gap	{"reason": "unintelligible"}	[45715,45716)
497	pause	{}	[45873,45874)
498	pause	{}	[46338,46339)
499	pause	{}	[46386,46387)
500	pause	{}	[46389,46390)
501	pause	{}	[46919,46920)
502	pause	{}	[47176,47177)
503	pause	{}	[47203,47204)
504	pause	{}	[47216,47217)
505	pause	{}	[47454,47455)
506	pause	{}	[47543,47544)
507	pause	{}	[47631,47632)
508	pause	{}	[47664,47665)
509	pause	{}	[47760,47761)
510	pause	{}	[47816,47817)
511	pause	{}	[47879,47880)
512	pause	{}	[47917,47918)
513	pause	{}	[48401,48402)
514	pause	{}	[48409,48410)
515	pause	{}	[48525,48526)
516	pause	{}	[48705,48706)
517	gap	{"reason": "unintelligible"}	[48884,48885)
518	pause	{}	[48885,48886)
519	pause	{}	[49131,49132)
520	pause	{}	[49309,49310)
521	pause	{}	[49314,49315)
522	pause	{}	[49749,49750)
523	pause	{}	[49771,49772)
524	pause	{}	[50461,50462)
525	pause	{}	[50542,50543)
526	gap	{"reason": "unintelligible"}	[50822,50823)
527	pause	{}	[51132,51133)
528	pause	{}	[51250,51251)
529	pause	{}	[51269,51270)
530	pause	{}	[51465,51466)
531	pause	{}	[51517,51518)
532	pause	{}	[51527,51528)
533	pause	{}	[51973,51974)
534	pause	{}	[52021,52022)
535	pause	{}	[52044,52045)
536	pause	{}	[52206,52207)
537	pause	{}	[52225,52226)
538	pause	{}	[52230,52231)
539	pause	{}	[52273,52274)
540	pause	{}	[52659,52660)
541	pause	{}	[52680,52681)
542	pause	{}	[52836,52837)
543	pause	{}	[52911,52912)
544	pause	{}	[53016,53017)
545	pause	{}	[53120,53121)
546	pause	{}	[53405,53406)
547	gap	{"reason": "unintelligible"}	[53516,53517)
548	pause	{}	[54029,54030)
549	pause	{}	[54153,54154)
550	pause	{}	[54547,54548)
551	pause	{}	[54893,54894)
552	pause	{}	[54911,54912)
553	pause	{}	[54924,54925)
554	pause	{}	[54944,54945)
555	pause	{}	[55268,55269)
556	pause	{}	[55532,55533)
557	pause	{}	[55536,55537)
558	pause	{}	[55556,55557)
559	pause	{}	[55572,55573)
560	pause	{}	[56496,56497)
561	pause	{}	[56945,56946)
